lands,ramp,rock_ramp,land_ramp,ramp_1,ramp_2,ramp_3,draw,immediate_draw,turn_draw,cast_draw,draw_1,draw_2,draw_3,value,value_cmc,curve,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7+,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,avg_commander_cast_turn,commander_cast_rate
27,11,10,1,8,2,1,24,20,2,2,12,3,3,34,3.235294117647059,2.742857142857143,19,18,14,11,4,2,3,100.848,9.394,27.348,64.106,15.306,3.6639839034205233,0.994
29,11,10,1,8,2,1,22,18,2,2,11,2,3,34,3.235294117647059,2.7794117647058822,18,17,14,11,4,2,3,99.926,10.448,25.374,64.104,15.122,3.628,1.0
30,10,9,1,7,2,1,22,18,2,2,11,3,2,34,3.235294117647059,2.7611940298507465,18,16,15,11,3,2,3,98.552,10.036,24.422,64.094,15.082,3.69,1.0
32,10,9,1,7,2,1,20,16,2,2,8,3,3,34,3.235294117647059,2.876923076923077,17,15,15,11,4,2,3,100.048,9.772,26.2,64.076,15.674,3.614,1.0
29,11,10,1,8,2,1,22,18,2,2,11,2,3,34,3.235294117647059,2.7794117647058822,18,17,14,11,4,2,3,100.596,10.676,25.846,64.074,15.168,3.6312625250501003,0.998
27,11,10,1,8,2,1,24,20,2,2,12,3,3,34,3.235294117647059,2.742857142857143,19,18,14,11,4,2,3,101.972,9.946,27.968,64.058,15.476,3.7094188376753507,0.998
32,11,10,1,8,2,1,19,15,2,2,8,2,3,34,3.235294117647059,2.8615384615384616,15,17,14,11,4,2,3,99.272,10.73,24.488,64.054,15.16,3.618,1.0
31,10,9,1,7,2,1,21,17,2,2,9,3,3,34,3.235294117647059,2.8636363636363638,17,16,15,11,4,2,3,100.782,9.822,26.91,64.05,15.614,3.694,1.0
29,10,9,1,7,2,1,23,19,2,2,11,3,3,34,3.235294117647059,2.7941176470588234,18,16,15,11,4,2,3,100.976,9.976,26.956,64.044,15.744,3.6733466933867733,0.998
29,12,11,1,9,2,1,21,17,2,2,11,3,1,34,3.235294117647059,2.735294117647059,18,18,15,9,4,2,3,98.744,11.804,22.896,64.044,14.954,3.634,1.0
32,10,9,1,7,2,1,20,16,2,2,9,3,2,34,3.235294117647059,2.7846153846153845,17,16,14,11,3,2,3,96.268,9.414,22.814,64.04,14.838,3.632,1.0
27,12,11,1,9,2,1,23,19,2,2,11,3,3,34,3.235294117647059,2.7714285714285714,18,18,15,11,4,2,3,102.816,11.492,27.294,64.03,15.206,3.726,1.0
30,12,11,1,9,2,1,20,16,2,2,8,3,3,34,3.235294117647059,2.8507462686567164,15,18,15,11,4,2,3,101.048,11.196,25.824,64.028,15.824,3.512,1.0
28,11,10,1,8,2,1,23,19,2,2,11,3,3,34,3.235294117647059,2.7681159420289854,18,18,14,11,4,2,3,101.334,9.762,27.544,64.028,15.144,3.646,1.0
30,12,11,1,9,2,1,20,16,2,2,9,3,2,34,3.235294117647059,2.791044776119403,17,17,15,10,4,2,3,99.552,11.972,23.556,64.024,14.656,3.484,1.0
27,12,11,1,9,2,1,23,19,2,2,12,3,2,34,3.235294117647059,2.7285714285714286,19,18,15,10,4,2,3,100.626,11.392,25.212,64.022,14.764,3.718,1.0
28,12,11,1,9,2,1,22,18,2,2,10,3,3,34,3.235294117647059,2.7971014492753623,19,17,15,11,4,2,3,102.506,11.48,27.006,64.02,15.298,3.644,1.0
28,10,9,1,7,2,1,24,20,2,2,12,3,3,34,3.235294117647059,2.753623188405797,19,17,14,11,4,2,3,100.646,9.212,27.418,64.016,14.992,3.6132264529058116,0.998
27,11,10,1,8,2,1,24,20,2,2,12,3,3,34,3.235294117647059,2.757142857142857,19,17,15,11,4,2,3,101.53,10.562,26.952,64.016,15.46,3.712,1.0
29,9,8,1,6,2,1,24,20,2,2,12,3,3,34,3.235294117647059,2.7794117647058822,19,15,15,11,4,2,3,100.18,9.204,26.962,64.014,15.478,3.75,1.0
27,11,10,1,8,2,1,24,20,2,2,12,3,3,34,3.235294117647059,2.757142857142857,19,17,15,11,4,2,3,101.436,10.06,27.362,64.014,15.48,3.694,1.0
31,11,10,1,8,2,1,20,16,2,2,10,1,3,34,3.235294117647059,2.787878787878788,17,18,12,11,4,2,3,98.082,10.5,23.57,64.012,14.706,3.562,1.0
29,11,10,1,8,2,1,22,18,2,2,12,1,3,34,3.235294117647059,2.75,19,17,13,11,4,2,3,99.766,11.008,24.748,64.01,14.922,3.612449799196787,0.996
30,10,9,1,7,2,1,22,18,2,2,11,3,2,34,3.235294117647059,2.746268656716418,18,17,14,11,3,2,3,97.93,9.598,24.322,64.01,14.906,3.552,1.0
28,11,10,1,8,2,1,23,19,2,2,11,3,3,34,3.235294117647059,2.782608695652174,18,17,15,11,4,2,3,101.478,10.452,27.02,64.006,15.498,3.646,1.0
28,12,11,1,9,2,1,22,18,2,2,11,3,2,34,3.235294117647059,2.739130434782609,18,18,15,11,3,2,3,99.878,11.73,24.142,64.006,15.02,3.585170340681363,0.998
31,11,10,1,8,2,1,20,16,2,2,10,2,2,34,3.235294117647059,2.787878787878788,18,17,14,11,3,2,3,98.128,11.146,22.978,64.004,14.544,3.62,1.0
30,11,10,1,8,2,1,21,17,2,2,11,2,2,34,3.235294117647059,2.746268656716418,18,17,14,11,3,2,3,97.766,10.996,22.768,64.002,14.804,3.534,1.0
29,12,11,1,9,2,1,21,17,2,2,10,3,2,34,3.235294117647059,2.7794117647058822,17,18,15,10,4,2,3,99.664,11.458,24.206,64.0,14.912,3.608,1.0
29,11,10,1,8,2,1,22,18,2,2,10,3,3,34,3.235294117647059,2.8088235294117645,17,17,15,11,4,2,3,101.796,10.488,27.318,63.99,15.088,3.708,1.0
