lands,ramp,rock_ramp,land_ramp,ramp_1,ramp_2,ramp_3,draw,immediate_draw,turn_draw,cast_draw,draw_1,draw_2,draw_3,value,value_cmc,curve,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7+,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,avg_commander_cast_turn,commander_cast_rate
39,6,4,2,4,2,0,10,5,5,0,0,1,4,44,3.090909090909091,3.0163934426229506,8,20,13,10,6,3,1,32.302,2.452,5.204,24.646,0.9,3.6877551020408164,0.98
42,5,3,2,1,4,0,8,4,4,0,0,0,3,44,3.090909090909091,3.103448275862069,7,19,12,9,6,4,1,31.302,2.608,4.05,24.644,0.864,3.757575757575758,0.99
43,3,2,1,2,1,0,9,2,7,0,0,2,0,44,3.090909090909091,3.017543859649123,7,19,14,7,6,3,1,30.244,1.87,3.732,24.642,0.324,4.006024096385542,0.996
39,6,4,2,3,3,0,10,5,4,1,0,2,2,44,3.090909090909091,3.0491803278688523,9,19,14,7,6,5,1,33.02,3.04,5.338,24.642,0.846,3.811740890688259,0.988
42,4,2,2,1,3,0,9,7,2,0,0,4,2,44,3.090909090909091,3.0,7,22,12,6,6,4,1,30.216,1.71,3.87,24.636,0.522,3.7931726907630523,0.996
38,7,4,3,3,4,0,10,3,6,1,0,0,2,44,3.090909090909091,3.096774193548387,9,18,14,9,6,5,1,33.596,3.782,5.178,24.636,0.936,3.8404040404040405,0.99
39,4,2,2,2,2,0,12,6,6,0,0,2,4,44,3.090909090909091,2.9672131147540983,9,20,13,9,6,3,1,32.54,2.086,5.82,24.634,0.828,3.752016129032258,0.992
42,3,1,2,1,2,0,10,4,6,0,0,2,2,44,3.090909090909091,3.0517241379310347,7,19,13,9,6,3,1,31.31,1.868,4.812,24.63,0.612,3.942,1.0
39,5,3,2,2,3,0,11,7,4,0,0,4,3,44,3.090909090909091,2.9836065573770494,7,22,14,8,6,3,1,31.922,2.332,4.984,24.606,0.918,3.791919191919192,0.99
40,7,4,3,2,5,0,8,6,2,0,0,3,2,44,3.090909090909091,3.066666666666667,8,19,13,9,6,4,1,31.812,3.24,3.972,24.6,1.008,3.7540650406504064,0.984
